sample,die,colour,Rs,nid,V0,seRs,res,vf10,imax,physical
2,D5,B,16.8138930842345,2.46529298606628,3.00088899610714,0.615288948979261,0.00359687615851647,2.87504,9.9952,0
2,D5,G,25.0767915876768,3.73047570797001,2.96774816471426,0.707328875106865,0.0049574344784525,2.77322438914027,10.4025,0
2,D5,R,11.6393246644258,1.65992748181557,2.08554616944712,0.161195176888126,0.00156360730271243,2.00584809490579,13.7837,1
2,D6,G,26.0056949040116,3.29654962908318,2.86589685391751,0.612846541555144,0.0043844503067747,2.733573,10.5907,0
2,D8,R,11.1102933750824,1.66227653333714,2.08698153553205,0.164236060362109,0.00159685348646355,2.00103342922029,13.8179,1
3,D1,R,-27.4591446962937,12.9832215575052,3.83854465588225,4.91691914055927,0.0456474363510063,2.00256915325402,13.8163,0
3,D2,B,17.5083449896063,2.56143503855508,3.01336347746494,0.417416444104424,0.00241702213905137,2.88186,9.9496,0
3,D4,G,10.5084112473546,4.21032281749139,3.05882994833379,0.649936816436756,0.0048747400830335,2.66303106084243,10.8979,0
3,D4,R,10.9177788803285,1.64811863848136,2.08451541344317,0.15967138992995,0.00155539625896932,1.99885586993243,13.8224,1
4,D5,G,9.65309065791954,4.42132935943294,3.09958126712954,0.635167274835034,0.00473882020438476,2.66873632061069,10.8553,0
4,D5,R,12.1262187196827,1.80661318688237,2.11499025904225,0.156638537469886,0.00150524062561775,2.0204,13.6996,1
4,D6,G,24.6103597641673,3.86404889243853,2.99738347159872,0.67065207317973,0.00469481451536143,2.78330521367521,10.3855,0
4,D6,R,13.4261256779121,1.68665464229742,2.0885769292235,0.154816145281439,0.00148405015901581,2.02105351851852,13.6799,1
4,D7,B,17.5654555410444,2.54304246818498,3.01452764103295,0.610013496363838,0.00353191235764556,2.88339,9.9457,0
4,D7,G,23.8199175509487,3.92534828364006,3.00846766846369,0.718707831479341,0.00503371735523354,2.77693101851852,10.3923,0
4,D8,G,23.4378407794575,3.9326047008576,3.00891624963835,0.782050471365952,0.00550384507100777,2.77367615780446,10.4148,0
4,D8,R,12.8117373831967,1.78467615705954,2.10933561576336,0.135865970367467,0.0012999342343377,2.02565668529905,13.6606,1
5,D1,B,17.555858504183,2.39325646948716,2.98912223069507,0.634353607906952,0.0036931593465487,2.87878,9.9701,1
5,D1,G,23.9662606951272,4.07786924993572,3.03891083998673,0.828196005375342,0.00576005412731834,2.79005739002933,10.3421,0
5,D1,R,10.4292227527203,1.69708710852378,2.09483482522812,0.165521901432547,0.00161425191061573,1.99695899427637,13.8376,1
5,D2,B,18.1897314237123,2.61003266274281,3.03410500748497,0.58383922402817,0.0033472131000759,2.90031,9.8558,0
5,D2,G,25.0992960934349,3.73157017133239,2.96227969840855,0.747531641247163,0.00524959380411757,2.76601408163265,10.421,0
5,D2,R,12.7937378529687,1.82062450029514,2.11703202685993,0.159183675458845,0.00152594277373588,2.0281472639485,13.6549,1
5,D3,B,21.4896418513912,2.20323379963776,2.94397049719425,0.357775981933077,0.00206671571716007,2.89189,9.9009,1
5,D3,G,25.8098780691038,3.70718810648377,2.95785231266127,0.650562503266695,0.00455907639161968,2.77207394736842,10.3948,0
5,D3,R,11.2360636545825,1.8097535061343,2.11348099217032,0.228112491928843,0.00218400281711002,2.01019261023822,13.6572,1
5,D4,B,19.0199997575632,2.08386875630037,2.93513131692033,0.396118987673838,0.00231689965444574,2.87748,9.9836,1
5,D4,G,24.5333006156713,4.08762498993184,3.04157884627652,0.707838428403806,0.00491211644222025,2.79617526766595,10.3088,0
5,D4,R,10.6725054767514,1.91879961649009,2.12711491693124,0.247744142033832,0.00239639019022377,2.00826847297967,13.7229,1
6,D5,B,20.4104777995005,2.04222143766779,2.92032604469081,0.430797352864191,0.00251017521411414,2.8779,9.9638,1
6,D5,G,25.369556313199,3.81654999792135,2.98871962260482,0.655371100418908,0.00456742991975222,2.78516667896679,10.3675,0
6,D5,R,10.687132464421,1.69161114048107,2.0910293690861,0.175870501501571,0.00171360191223186,1.99720432067511,13.8334,1
6,D6,B,18.4014843591229,2.25892873538132,2.9575212850535,0.434752710673582,0.00254877823837149,2.87243145728643,10.0052,1
6,D6,G,25.9004145525604,3.37524892414989,2.88913892329336,0.658800780883541,0.0046918707980137,2.74392160283688,10.527,0
6,D6,R,12.3683798816567,1.66637232462919,2.08548777162921,0.168467084370523,0.00162753279191976,2.01270610453649,13.757,1
6,D7,B,20.814258576806,2.20577225254242,2.9502167447404,0.558198214466218,0.00322021738623483,2.89224,9.9008,1
6,D7,G,28.1006580727306,3.30897810083851,2.86785824570046,0.594987590160343,0.00420087856432939,2.75378833333333,10.4868,0
6,D7,R,13.0142389503085,1.7959389994229,2.11259499679889,0.161245610529552,0.00154794358403266,2.0311499946865,13.6619,1
7,D1,B,16.3047538782371,2.64463224238772,3.03732034946284,0.650156957448585,0.0037789789398824,2.88097,9.9587,0
7,D1,G,23.1541874555164,4.15945667324948,3.05878274814001,0.828325600934832,0.0057596952198214,2.79198182590234,10.3366,0
7,D1,R,10.322713984951,1.79165775386529,2.109147502479,0.167336962395004,0.00162643224286728,1.99913012216405,13.8222,1
7,D2,B,19.2629684016991,2.50845187719303,3.00657287067814,0.632553492145251,0.00363656269085541,2.89548,9.8867,0
7,D2,G,26.0981124600959,3.40790270192179,2.89060477959102,0.725031472315192,0.00513835967984038,2.74338850666667,10.5239,0
7,D2,R,12.0277834352525,1.87415775857932,2.12780052699931,0.14757925041827,0.00141555785872046,2.02353411260054,13.683,1
7,D3,B,18.5183064335557,2.52973951573333,3.00849615626827,0.658417699971522,0.00380438746426669,2.8885,9.9116,0
7,D3,G,24.6477917327577,3.61263550469848,2.93546466205512,0.702535722430815,0.00497353867127841,2.75021652173913,10.4922,0
7,D3,R,10.4242892872362,1.76273565848846,2.10430214448618,0.144351698803663,0.00140392583492176,1.99834678021087,13.8241,1
7,D4,B,20.8128083394274,2.18961468848589,2.94042327814296,0.401215440193413,0.00231774528769799,2.88436,9.9154,1
7,D4,G,26.5471964792826,3.56126374998355,2.92106622478934,0.647298346776355,0.00455261835184537,2.76075703529412,10.4278,0
7,D4,R,13.0500114375491,1.77165561594888,2.11006365467038,0.163461288444615,0.00155294466649286,2.03165276490882,13.5309,1
8,D5,B,19.2122415120336,2.24911576962823,2.95490979245968,0.555085159419747,0.00313692420844594,2.87207,9.6809,1
8,D5,R,12.6577474446339,2.05513078028224,2.15627022238997,0.214245109241063,0.00203446172067808,2.03896249106687,13.516,1
8,D6,B,17.7085581500741,2.13143104596005,2.93790174942163,0.414748503483163,0.0024448065284197,2.86253770731707,10.0401,1
8,D6,G,26.8553864424828,3.5615398332617,2.92524074605754,0.660158031844424,0.00464303380433475,2.76822975,10.4289,0
8,D6,R,10.9838947487014,1.92683268133068,2.13080683634249,0.252912655480674,0.00243377948334877,2.01286695960941,13.7228,1
8,D7,B,19.9037505081782,2.27863592235399,2.96946442604753,0.499626905284997,0.00288180459969167,2.89352,9.8938,1
8,D7,G,24.3141292110505,3.93435839740143,3.0140571549253,0.707762871909642,0.00494405821051037,2.78702824399261,10.3583,0
8,D7,R,11.1751183683945,1.75390022601464,2.10525207437834,0.176879527257579,0.00171206869525992,2.01062939393939,13.7692,1
8,D8,B,18.9638964073704,2.14569022385502,2.93714607473375,0.410397795955899,0.00240124878744383,2.8719935483871,10.0045,1
8,D8,G,25.0936007434866,3.56451149361906,2.92939402815723,0.66498946820077,0.00471264860953312,2.7546618975553,10.4907,0
